Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто,Адреса проживання,Телефон,Email
Батуринець,Надія,Вікторівна,female,1949-07-21,Соціолог,місто Чернігів,"узвіз Бандурний, буд. 55 кв. 3, Старобільськ, 52316",631 93 26,varvaraartym@example.com
Іванченко,Лілія,Владиславівна,female,1958-12-17,Фізик,місто Гнівань,"вулиця Артилерійська, буд. 1 кв. 3, Чорнобиль, 27061",949-30-43,ihnatsachenko@example.com
Вовк,Соломон,Максимович,male,2007-10-19,Фермер,хутір Батурин,"сквер Абрикосова, буд. 1 кв. 751, Горішні Плавні, 03428",+380 44 224 94 49,malyshkoieva@example.com
Рак,Варвара,Миколаївна,female,1977-04-27,Фермер,місто Дергачі,"площа Гоголя, буд. 056, Лисичанськ, 56985",+380 29 292 52 31,neporozhniiiukhym@example.org
Аверченко,Зорян,Дмитрович,male,1980-06-18,Гінеколог,селище Миргород,"сквер Бреуса Якова, буд. 1 кв. 84, Гайсин, 13325",036 617-88-29,zynovii14@example.net
Перепелиця,Марія,Вікторівна,female,1939-04-14,Кінорежисер,місто Бахмач,"парк Ботанічний, буд. 31 кв. 04, Почаїв, 86421",+380 (14) 973-70-05,martyn24@example.org
Прокопович,Єлисей,Максимович,male,2001-03-22,Золотар,селище Благовіщенське,"шосе Дігтярна, буд. 4, Полонне, 82543",+380 (57) 431-32-43,gbaidak@example.net
Цимбалюк,Віталій,Владиславович,male,1988-07-15,Євнух,хутір Борзна,"сквер Ялинкова, буд. 85 кв. 828, Новоселиця, 91400",099 978 05 41,datsenkoalbert@example.com
Франчук,Орися,Владиславівна,female,1960-09-21,Кінорежисер,хутір Біла Церква,"провулок Дзвінка, буд. 0, Ясинувата, 66665",071 052-19-31,nataliia43@example.com
Пустовіт,Володимира,Романівна,female,1939-09-15,Юрист,місто Переяслав,"сквер Обліпихова, буд. 9, Новий Розділ, 96290",726-54-06,mamchurorest@example.com
Джус,Олег,Владиславович,male,2004-04-14,Шериф,село Вилкове,"узвіз Олександра Богомольця, буд. 05 кв. 45, Суми, 07054",+380 (57) 945-76-78,lupiiielysei@example.org
Яценко,Дарина,Василівна,female,1975-05-31,Геолог,селище Тростянець,"сквер 40-річчя оборони Одеси, буд. 831 кв. 619, Вільнянськ, 81125",+380 49 409-78-05,waleksiichuk@example.com
Шовкопляс,Демʼян,Сергійович,male,1962-08-29,Фермер,село Попасна,"проспект Мацієвської, буд. 37 кв. 88, Сніжне, 48335",+380 84 648 61 40,anastasiiaiatsenko@example.com
Артеменко,Тереза,Сергіївна,female,1988-09-30,Геолог,село Перемишляни,"проспект Олени Теліги, буд. 679 кв. 041, Українськ, 57385",072 824 35 74,shvaikaoksana@example.net
Приходько,Руслан,Денисович,male,1988-06-21,Юрист,селище Чуднів,"проспект Митна, буд. 61 кв. 4, Павлоград, 56527",508-35-31,udubyna@example.org
Ємельяненко,Данило,Денисович,male,1950-06-29,Складальник,хутір Старий Самбір,"провулок Героїв УПА, буд. 91, Корець, 39662",+380 (32) 158-99-32,marusiavlasenko@example.com
Годунок,Єлисей,Ігорович,male,1999-06-29,Пілот,місто Гнівань,"сквер Глухий міст, буд. 89 кв. 419, Кальміуське, 15472",+380 (81) 990-49-38,artymodarka@example.org
Штепа,Михайлина,Денисівна,female,2000-05-09,Ді-джей,селище Батурин,"проспект Альпіністів, буд. 068 кв. 1, Горлівка, 97066",+380 06 631-14-52,veniiamynfilipenko@example.net
Юрчишина,Гордій,Сергійович,male,1982-09-08,Філолог,село Маріуполь,"вулиця Наливна, буд. 07, Горохів, 93561",+380 (29) 861-53-38,fbabii@example.com
Гаврилюк,Віра,Юріївна,female,1982-04-26,Перекладач,селище Довжанськ,"парк Василя Симоненка, буд. 3 кв. 0, Золочів, 57396",048 569-89-34,uzabara@example.net
Артимишин,Марина,Іванівна,female,1993-09-10,Епідеміолог,місто Судак,"вулиця Дубовий гай, буд. 73, Яремче, 78554",063 712-58-98,bohdanna93@example.com
Артимович,Максим,Олександрович,male,1946-08-25,Медик,село Підгородне,"вулиця Шептицького, буд. 456, Хотин, 66100",024 47 53,fartushniakdaryna@example.org
Цибуленко,Мартин,Петрович,male,1982-11-20,Стиліст,місто Інкерман,"вулиця Горбатий міст, буд. 11, Олешки, 88261",+380 05 627 49 19,symonpetliura@example.com
Скоробогатько,Демид,Васильович,male,2001-11-09,Гірник,хутір Південне,"шосе Ізюмська, буд. 012 кв. 1, Славута, 29642",054 000-79-60,zhalilookhrim@example.com
Жадан,Данило,Миколайович,male,1948-05-05,Музикознавець,місто Житомир,"набережна Шахтинський, буд. 502 кв. 677, Немирів, 57574",+380 11 478-36-80,karmaliukalla@example.org
Баранник,Едита,Павлівна,female,2000-07-01,Графік,місто Кипуче,"парк Штурвальна, буд. 406, Вільногірськ, 45776",886 42 08,leonid74@example.net
Вакарчук,Леон,Дмитрович,male,1983-05-11,Дизайнер,хутір Пирятин,"провулок Перепечка, буд. 8 кв. 3, Шахтарське, 14888",098 552 18 70,akymenkozlatoslava@example.net
Кабалюк,Ростислав,Сергійович,male,1968-01-01,Співак,місто Прип'ять,"сквер Аеродромний 3-й, буд. 99 кв. 76, Львів, 62736",076 582-32-68,tymofii52@example.com
Малишко,Григорій,Петрович,male,2005-06-06,Флорист,місто Овруч,"парк Добровольців, буд. 13 кв. 42, Біляївка, 36017",890 29 01,larysa91@example.org
Туркало,Богуслав,Олексійович,male,1962-08-08,Скульптор,хутір Старий Самбір,"узвіз Палубний, буд. 384, Кодима, 73149",+380 55 864 46 47,mykhailobandera@example.com
Ющенко,Августин,Павлович,male,1947-05-01,Продюсер,селище Шахтарськ,"узвіз Анатолія Бачинського, буд. 182 кв. 8, Городенка, 72817",+380 31 846-23-81,halynabevz@example.net
Ґерус,Дан,Сергійович,male,1994-07-21,Євнух,хутір Корець,"шосе Лінія 31-ша, буд. 22 кв. 243, Хоростків, 39586",003 485-32-85,piukhymenko@example.net
Іщенко,Аліна,Романівна,female,1985-03-02,Графік,хутір Виноградів,"площа Почаївська, буд. 328 кв. 2, Татарбунари, 87826",355 64 62,dtaran@example.org
Єфименко,Ростислав,Петрович,male,1940-01-30,Ветеринар,місто Багачеве,"парк Ткачова, буд. 29 кв. 915, Радивилів, 83532",+380 59 639 80 45,zlesyk@example.com
Вовк,Тереза,Василівна,female,1938-07-28,Штукатур,село Мала Виска,"провулок Балтиморська, буд. 9, Василівка, 67967",+380 (49) 570-35-03,xvelychko@example.net
Яценко,Остап,Васильович,male,1990-01-29,Кінорежисер,селище Яворів,"набережна Луганська, буд. 05 кв. 6, Щолкіне, 55679",823 68 57,boleslavzaporozhets@example.net
Башполченко,Феофан,Петрович,male,1972-08-13,Письменник,село Харцизьк,"вулиця Небесної Сотні, буд. 0, Гірник, 81852",+380 (47) 318-97-99,yabrahamovska@example.com
Швайка,Оксана,Олексіївна,female,1951-02-09,Кур'єр,селище Красноперекопськ,"проспект Скидановський узвіз, буд. 817, Саки, 41413",+380 29 921 96 05,iiaremko@example.net
Гузенко,Лукʼян,Юрійович,male,1959-06-28,Провізор,хутір Болград,"сквер Івана Луценка, буд. 568, Луцьк, 76126",421 46 37,dankopylyp@example.com
Лавренко,Єфрем,Павлович,male,1963-09-25,Секретар,село Бахмач,"площа Дніпропетровська дорога, буд. 030 кв. 0, Бердичів, 39986",+380 93 445-53-58,tereshchenkonataliia@example.org
Архимович,Петро,Іванович,male,2003-06-15,Скульптор,село Пирятин,"сквер Амбулаторна, буд. 009, Южне, 17917",+380 86 592-88-46,jdashkevych@example.org
